FIPS,State,County,Population,Median Household Income,# Unemployed,% Unemployed,Unemployment Rate,% Severe Housing Problems,# Primary Care Physicians,Primary Care Physicians Rate,total_facilities,hospital_facilities,facilities_per_100k,hospitals_per_100k
06001,California,Alameda,1622188,119230,33663,4.0749205304,4.5,23.387228483,1847.0,112.03744,566,18,34.89,1.11
06003,California,Alpine,1141,83265,35,6.4814814815,7.8,11.494252874,0.0,0.0,0,0,0.0,0.0
06005,California,Amador,41811,80767,731,5.0749791725,5.5,18.707372524,19.0,46.05056,13,1,31.09,2.392
06007,California,Butte,207172,63084,4822,5.2464367316,5.9,20.494782507,122.0,58.566840000000006,88,5,42.48,2.413
06009,California,Calaveras,46565,77041,926,4.217525961,6.0,19.660916121,18.0,38.94334,15,1,32.21,2.148
06011,California,Colusa,22037,66675,1374,12.991679274,13.0,16.358658453,6.0,27.376009999999997,12,1,54.45,4.538
06013,California,Contra Costa,1155025,122000,22767,4.1348686003,4.5,20.627985337,1178.0,101.42817,286,9,24.76,0.779
06015,California,Del Norte,26589,70231,539,5.7079318013,6.2,17.418677859,17.0,60.498219999999996,22,1,82.74,3.761
06017,California,El Dorado,192215,107063,3707,3.9575104089,4.7,17.542094318,146.0,75.56115,31,2,16.13,1.041
06019,California,Fresno,1017162,71271,34405,7.4624761409,7.9,26.302398066,685.0,67.58216999999999,369,10,36.28,0.983
06021,California,Glenn,28129,64197,803,6.2773608505,7.1,22.347514095,5.0,17.3581,13,1,46.22,3.555
06023,California,Humboldt,133985,61307,2758,4.6007306454,5.2,24.316024567,83.0,60.89061999999999,75,4,55.98,2.985
06025,California,Imperial,179057,58768,12657,17.268807815,18.4,25.494071146,45.0,25.020709999999998,47,2,26.25,1.117
06027,California,Inyo,18527,71656,316,3.7821663674,4.2,16.922094508,13.0,68.52926,14,2,75.57,10.795
06029,California,Kern,913820,68436,32765,8.3215657192,8.6,24.413461713,439.0,47.838390000000004,284,13,31.08,1.423
06031,California,Kings,152682,65768,4781,8.2102623987,8.9,20.51519002,57.0,37.14734,49,1,32.09,0.655
06033,California,Lake,67878,57945,1661,5.7862467777,7.0,20.775517962,29.0,42.172,29,2,42.72,2.946
06035,California,Lassen,28861,77743,448,5.1948051948,6.3,14.421997755,9.0,27.14195,11,1,38.11,3.465
06037,California,Los Angeles,9663345,86499,252042,5.025132441,5.8,31.945129995,7411.0,75.39516,7198,90,74.49,0.931
06039,California,Madera,162858,66084,4802,7.479051802,7.5,25.665442864,75.0,47.04849,60,2,36.84,1.228
06041,California,Marin,254407,139197,4380,3.3177294005,3.9,21.585542169,388.0,149.11263,84,4,33.02,1.572
06043,California,Mariposa,16919,64352,387,5.0900960147,5.5,20.685111989,4.0,23.3277,11,1,65.02,5.911
06045,California,Mendocino,89108,65891,1756,4.6980763571,5.5,22.509872751,71.0,77.76135,46,3,51.62,3.367
06047,California,Merced,291920,58962,10708,9.0034641644,9.8,22.95393286,120.0,41.890519999999995,81,2,27.75,0.685
06049,California,Modoc,8500,51996,207,6.3399693721,7.0,12.1522694,4.0,46.18404,8,2,94.12,23.529
06051,California,Mono,13066,82973,347,3.8123489343,4.2,13.805970149,11.0,83.03767,4,1,30.61,7.653
06053,California,Monterey,430723,86809,15269,7.0149082305,7.3,30.64050779,283.0,64.7116,111,4,25.77,0.929
06055,California,Napa,133216,100469,2544,3.5346588304,3.9,22.597189455,134.0,98.37966999999999,44,2,33.03,1.501
06057,California,Nevada,102037,87142,1913,3.9170318195,4.5,21.516819572,75.0,72.47287,32,2,31.36,1.96
06059,California,Orange,3135755,109768,56458,3.5533362327,3.9,26.242683838,3156.0,99.62722,976,35,31.12,1.116
06061,California,Placer,423561,110020,7255,3.7258819119,4.1,16.194102127,503.0,121.99853999999999,70,3,16.53,0.708
06063,California,Plumas,19131,64121,540,7.2746867843,7.1,15.67436209,15.0,75.32011,13,3,67.95,15.681
06065,California,Riverside,2492442,90251,55574,4.7996711205,5.3,24.4103686,1136.0,46.20901,600,21,24.07,0.843
06067,California,Sacramento,1584288,89984,32528,4.4495148048,4.7,21.502231524,1415.0,89.05414,367,12,23.16,0.757
06069,California,San Benito,68175,105112,1933,5.9645766477,6.3,22.38182293,18.0,26.995820000000002,13,1,19.07,1.467
06071,California,San Bernardino,2195611,84576,47154,4.6518327061,5.1,25.457809419,1292.0,58.868829999999996,752,25,34.25,1.139
06073,California,San Diego,3269973,103476,62015,3.8846001584,4.3,25.360119309,2773.0,84.38654,898,24,27.46,0.734
06075,California,San Francisco,808988,125456,18398,3.2659596752,3.9,23.60472842,1337.0,164.00862999999998,199,13,24.6,1.607
06077,California,San Joaquin,800965,86211,21624,6.2359414472,6.5,24.324554675,462.0,58.524719999999995,212,8,26.47,0.999
06079,California,San Luis Obispo,281639,89809,4714,3.4581921153,4.1,21.148983987,235.0,82.99224,123,4,43.67,1.42
06081,California,San Mateo,726353,151004,13494,3.0296838971,3.6,23.532409679,804.0,108.95963,171,7,23.54,0.964
06083,California,Santa Barbara,441257,90155,8979,4.1141270481,4.5,28.332598596,342.0,76.60002999999999,136,6,30.82,1.36
06085,California,Santa Clara,1877592,154573,36378,3.5014163324,4.1,22.125857045,2017.0,106.97382,354,14,18.85,0.746
06087,California,Santa Cruz,261547,102723,7647,5.7402583754,5.9,25.436641617,274.0,102.31822,62,3,23.71,1.147
06089,California,Shasta,180366,71935,3798,5.1401426464,5.3,20.100960527,142.0,77.96244,85,5,47.13,2.772
06091,California,Sierra,3200,67675,62,4.6546546547,5.4,19.130434783,,,4,0,125.0,0.0
06093,California,Siskiyou,42905,58975,1067,6.3831060062,7.0,17.661290323,33.0,74.79939999999999,25,2,58.27,4.661
06095,California,Solano,449218,99117,9444,4.6507734053,5.0,20.822755972,379.0,83.90227,106,5,23.6,1.113
06097,California,Sonoma,481812,100157,8972,3.6182817598,4.1,22.018640119,494.0,101.66973000000002,132,8,27.4,1.66
06099,California,Stanislaus,551430,81582,15755,6.4325551391,6.9,23.205666467,362.0,65.46124,153,7,27.75,1.269
06101,California,Sutter,97948,71968,3638,7.784149264,8.6,19.691178719,75.0,75.7094,35,1,35.73,1.021
06103,California,Tehama,64896,58333,1519,5.8263971463,6.2,22.057026477,35.0,53.436749999999996,19,1,29.28,1.541
06105,California,Trinity,15670,52079,259,5.6798245614,5.8,19.307832423,3.0,18.67995,7,1,44.67,6.382
06107,California,Tulare,479468,71368,21320,9.9951711884,10.3,25.016114016,221.0,46.325990000000004,172,4,35.87,0.834
06109,California,Tuolumne,54204,72329,1000,5.0052555183,5.2,18.653971002,35.0,62.712779999999995,20,2,36.9,3.69
06111,California,Ventura,829590,106526,17649,4.2740796889,4.6,23.279411229,683.0,81.33044,396,10,47.73,1.205
06113,California,Yolo,220544,91192,5151,4.6932657877,5.4,23.850536637,268.0,123.51027,47,2,21.31,0.907
06115,California,Yuba,85722,71493,2124,6.6629023151,6.8,20.881368538,17.0,20.37856,23,1,26.83,1.167
